,,,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
,,,0,0,-10,-10,10,10,-20,-20,0,0,20,20,-30,-30,-10,-10,10,10,30,30,-40,-40,-20,-20,0,0,20,20,40,40,-50,-50,-30,-30,-10,-10,10,10,30,30,50,50
,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
27052023164502,5,300,20870,9130,3277,2065,2693,1095,420,777,986,501,325,151,131,300,273,367,204,88,48,18,87,90,95,229,142,72,35,13,3,7,38,13,114,55,93,50,25,9,7,3,2,2
27052023173432,6,300,20933,9067,3075,2224,2675,1093,445,883,1047,488,318,136,158,328,305,354,208,100,10,44,54,129,140,208,149,63,43,17,8,15,59,18,117,55,83,40,30,9,6,7,6,2
27052023182350,7,300,20721,9279,3525,1876,2735,1143,383,693,1016,440,319,168,126,282,266,262,203,91,32,39,101,51,99,186,115,52,31,22,10,7,20,4,104,29,68,38,23,17,11,2,0,2
27052023191239,8,300,20854,9146,3500,1849,2638,1159,314,737,1020,461,310,166,134,290,256,326,208,76,34,40,38,129,86,227,130,45,46,12,17,2,50,22,137,59,76,38,14,13,5,1,0,0
27052023200113,9,300,20976,9024,3243,2047,2636,1098,436,788,1018,450,313,140,133,321,311,284,183,80,44,22,53,135,95,214,98,56,37,11,4,4,49,20,145,49,90,36,14,11,3,0,3,0
27052023205018,10,300,20825,9175,1883,3502,2667,1123,1233,817,1486,620,320,149,157,324,430,261,234,107,48,25,52,126,119,195,109,49,39,15,2,11,44,17,126,57,77,29,25,8,7,0,5,1
27052023213918,11,300,20406,9594,2401,3212,2590,1391,1121,785,1477,618,362,240,154,319,367,315,243,140,59,46,50,126,120,212,136,75,52,32,8,9,52,20,116,59,93,41,34,19,11,4,2,3
27052023222834,12,300,20779,9221,3522,1930,2533,1236,358,762,1072,438,352,184,127,281,256,355,218,71,43,33,44,118,108,213,131,63,35,15,11,2,46,18,119,67,85,32,24,10,6,4,0,0
27052023231700,13,300,20806,9194,3317,2024,2732,1121,343,800,1066,471,314,151,118,329,254,370,193,95,42,21,60,142,101,240,141,69,40,12,5,5,59,19,144,56,107,41,22,12,5,0,3,0
